7    16    9.575e-05
7    32    9.223e-05
7    64    0.00010806
7    128    0.00012467
7    256    0.00012421
7    512    0.00014239
7    1024    0.00014417
7    2048    0.00015875
7    4096    0.00017892
7    8192    0.00017809
7    16384    0.00019556
7    32768    0.00021182
7    65536    0.00021253
7    131072    0.00022927
7    262144    0.00022724
7    524288    0.00024768
7    1048576    0.00026392
7    2097152    0.00026271
7    4194304    0.00028381
7    8388608    0.00029761
7    16777216    0.00029756
7    33554432    0.00031846
7    67108864    0.00033426
7    134217728    0.00033206
7    268435456    0.00037386
