6    16    0.0001009
6    32    0.00010919
6    64    0.00011443
6    128    0.00013106
6    256    0.00013076
6    512    0.00014803
6    1024    0.00014712
6    2048    0.00016361
6    4096    0.00018069
6    8192    0.0001809
6    16384    0.00019802
6    32768    0.00021592
6    65536    0.00021569
6    131072    0.0003018
6    262144    0.00023277
6    524288    0.00025015
6    1048576    0.00026534
6    2097152    0.0002657
6    4194304    0.00028361
6    8388608    0.00031519
6    16777216    0.000315
6    33554432    0.00033484
6    67108864    0.00034734
6    134217728    0.00035026
6    268435456    0.00036903
