2    16    0.00082226
2    32    0.00073571
2    64    0.000928
2    128    0.00126249
2    256    0.00193332
2    512    0.0032864
2    1024    0.00603309
2    2048    0.0114283
2    4096    0.022349
2    8192    0.0439028
2    16384    0.0870524
2    32768    0.173232
2    65536    0.345751
2    131072    0.690593
2    262144    1.38121
2    524288    2.80004
2    1048576    5.59836
2    2097152    11.1927
2    4194304    22.3638
2    8388608    44.7306
2    16777216    89.5264
2    33554432    178.883
2    67108864    357.672
2    134217728    715.503
2    268435456    1431.11
