5    16    9.403e-05
5    32    0.00012328
5    64    0.0001177
5    128    0.00013175
5    256    0.00014743
5    512    0.000163
5    1024    0.00017714
5    2048    0.00019005
5    4096    0.00020702
5    8192    0.00022113
5    16384    0.00023311
5    32768    0.00025422
5    65536    0.00026742
5    131072    0.000283
5    262144    0.0002977
5    524288    0.00031293
5    1048576    0.00032883
5    2097152    0.00036103
5    4194304    0.00037865
5    8388608    0.00039857
5    16777216    0.00041036
5    33554432    0.00045151
5    67108864    0.00046653
5    134217728    0.00048745
5    268435456    0.00050362
