0    16    0.00034696
0    32    0.00054956
0    64    0.0009173
0    128    0.00163881
0    256    0.00304854
0    512    0.00611068
0    1024    0.0120705
0    2048    0.0220324
0    4096    0.0444277
0    8192    0.0828751
0    16384    0.148396
0    32768    0.252554
0    65536    0.404551
0    131072    0.665186
0    262144    1.31789
0    524288    2.66978
0    1048576    5.3435
0    2097152    10.8021
0    4194304    21.401
0    8388608    42.7095
0    16777216    87.0816
0    33554432    172.473
0    67108864    347.487
0    134217728    686.273
0    268435456    1375.16
