4    16    9.106e-05
4    32    0.00011074
4    64    0.00011098
4    128    0.00012204
4    256    0.00013336
4    512    0.00014373
4    1024    0.00015426
4    2048    0.00016875
4    4096    0.00018039
4    8192    0.00018977
4    16384    0.0002014
4    32768    0.00022795
4    65536    0.00024098
4    131072    0.00025218
4    262144    0.00026288
4    524288    0.00027483
4    1048576    0.00028613
4    2097152    0.00029699
4    4194304    0.00030832
4    8388608    0.00032004
4    16777216    0.00033148
4    33554432    0.00034649
4    67108864    0.00035365
4    134217728    0.00036795
4    268435456    0.0003811
